0,1,2,3,4,5,6,7,8,9,10,11,12
1058952760807301120,@altrkah,حاولت اوصف غلاك و ضاعت اعلومي و عرفت إن الغلا لا زاد مايوصفونه#حامد_زيد #امطار_الكويت https://t.co/uG9AcHebKM,下午1:23 · 2018年11月4日,Kuwait_floods_18,[],"['مايوصفونه#حامد_زيد', '#امطار_الكويت']",['https://t.co/uG9AcHebKM'],"['حاولت', 'اوصف', 'غلاك', 'و', 'ضاعت', 'اعلومي', 'و', 'عرفت', 'إن', 'الغلا', 'لا', 'زاد']",2018-11-04 13:23:00,"['حاولت', 'اوصف', 'غلاك', 'و', 'ضاعت', 'اعلومي', 'و', 'عرفت', 'إن', 'الغلا', 'لا', 'زاد']",[],[]
1058989747295666176,@drzjeran,#امطار_الكويت اشهد ان الجو ما يشبهني,下午3:50 · 2018年11月4日,Kuwait_floods_18,[],['#امطار_الكويت'],[],"['اشهد', 'ان', 'الجو', 'ما', 'يشبهني']",2018-11-04 15:50:00,"['اشهد', 'ان', 'الجو', 'ما', 'يشبهني']",[],[]
1059027305723584513,@ASIALDHAFEERI,أمطرنا بفضل الله #امطار_الكويت #أم_الهيمان جنوبي البلاد #سقيا رحمة #اللهم صيباً نافعاً https://t.co/w8d0f49dmp,下午6:19 · 2018年11月4日,Kuwait_floods_18,[],"['#امطار_الكويت', '#أم_الهيمان', '#سقيا', '#اللهم']",['https://t.co/w8d0f49dmp'],"['أمطرنا', 'بفضل', 'الله', 'جنوبي', 'البلاد', 'رحمة', 'صيباً', 'نافعاً']",2018-11-04 18:19:00,"['أمطرنا', 'ب', 'فضل', 'الله', 'جنوبي', 'البلاد', 'رحمة', 'صيباً', 'نافعاً']",[],[]
1059036041305341952,@sha3er80kw,كل ( الكويت ) يفرحون بالجوّ وأنا لاشفتك فرح عيني زان ( التويتر ) بعيني توّ غرّدي حروفك تكفيني . . #أمطار_الكويت https://t.co/kvGHXI3tXU,下午6:54 · 2018年11月4日,Kuwait_floods_18,[],['#أمطار_الكويت'],['https://t.co/kvGHXI3tXU'],"['كل', '', 'الكويت', '', 'يفرحون', 'بالجوّ', 'وأنا', 'لاشفتك', 'فرح', 'عيني', 'زان', '', 'التويتر', '', 'بعيني', 'توّ', 'غرّدي', 'حروفك', 'تكفيني', '', '']",2018-11-04 18:54:00,"['كل', 'الكويت', 'يفرحون', 'ب', 'الجول', 'و', 'أنا', 'ل', 'اشفتك', 'فرح', 'عيني', 'زان', 'التويتر', 'ب', 'عيني', 'توّ', 'غرّدي', 'حروفك', 'تكفيني']",['الكويت'],[]
1059037896618008576,@qweaa1234,#امطار_الكويت _ مطر وخير بفضل الله والاجواء جميلة جداً في المخيم بالبر ... يقولون آللي حاطه مكياج لا تطلع بهذا الجو ماهو من صالحها 😜😂😂 😂😂😂,下午7:01 · 2018年11月4日,Kuwait_floods_18,[],['#امطار_الكويت'],[],"['_', 'مطر', 'وخير', 'بفضل', 'الله', 'والاجواء', 'جميلة', 'جداً', 'في', 'المخيم', 'بالبر', '', 'يقولون', 'آللي', 'حاطه', 'مكياج', 'لا', 'تطلع', 'بهذا', 'الجو', 'ماهو', 'من', 'صالحها', '😜😂😂', '😂😂😂']",2018-11-04 19:01:00,"['مطر', 'وخير', 'ب', 'فضل', 'الله', 'و', 'الأجواء', 'جميلة', 'جداً', 'في', 'المخيم', 'ب', 'البر', 'يقولون', 'آللي', 'حاطه', 'مكياج', 'لا', 'تطلع', 'ب', 'هٰذا', 'الجو', 'ماهو', 'من', 'صالح', 'ها', '😜😂😂', '😂😂😂']",[],[]
1059040048497287170,@alathkariiiiiii,#امطار_جدة_الان #امطار_الكويت اللهم اسعد من نشر هذا المقطع انشر تؤجر 🔂🌧 https://t.co/ErvpXRGVyW,下午7:09 · 2018年11月4日,Kuwait_floods_18,[],"['#امطار_جدة_الان', '#امطار_الكويت']",['https://t.co/ErvpXRGVyW'],"['اللهم', 'اسعد', 'من', 'نشر', 'هذا', 'المقطع', 'انشر', 'تؤجر', '🔂🌧']",2018-11-04 19:09:00,"['اللهم', 'اسعد', 'من', 'نشر', 'هذا', 'المقطع', 'انشر', 'تؤجر', '🔂🌧']",[],[]
1059049715579412480,@Fahmq8,#امطار_الكويت أمطري بالخير ورشي ياسحابه واطلبي يانفس دام الله كريم*♥️,下午7:48 · 2018年11月4日,Kuwait_floods_18,[],['#امطار_الكويت'],[],"['أمطري', 'بالخير', 'ورشي', 'ياسحابه', 'واطلبي', 'يانفس', 'دام', 'الله', 'كريم*♥️']",2018-11-04 19:48:00,"['أمطري', 'ب', 'الخير', 'و', 'رشي', 'ياسحاب', 'ه', 'و', 'اطلبي', 'يانفس', 'دام', 'الله', 'كريم', '♥']",[],[]
1059057193029431296,@q8hip,#امطار_الكويت لحد يقول الجو يشبهني خلونا نستانس بالمطر,下午8:18 · 2018年11月4日,Kuwait_floods_18,[],['#امطار_الكويت'],[],"['لحد', 'يقول', 'الجو', 'يشبهني', 'خلونا', 'نستانس', 'بالمطر']",2018-11-04 20:18:00,"['لحد', 'يقول', 'الجو', 'يشبهني', 'خلونا', 'نستانس', 'بالمطر']",[],[]
1059063175423901697,@ArabShop,| #مواقع | الجو اليوم جو #شاي و #قهوة اذا ودك بشي مختلف اطلب من هالموقع المتخصص بالشاي https://t.co/eTsMDkRLWx عنده شحن دولي مباشر #امطار_الكويت https://t.co/dsJJc32Jw8,下午8:41 · 2018年11月4日,Kuwait_floods_18,[],"['#مواقع', '#شاي', '#قهوة', '#امطار_الكويت']","['https://t.co/eTsMDkRLWx', 'https://t.co/dsJJc32Jw8']","['|', '|', 'الجو', 'اليوم', 'جو', 'و', 'اذا', 'ودك', 'بشي', 'مختلف', 'اطلب', 'من', 'هالموقع', 'المتخصص', 'بالشاي', 'عنده', 'شحن', 'دولي', 'مباشر']",2018-11-04 20:41:00,"['الجو', 'اليوم', 'جو', 'و', 'اذا', 'ودك', 'ب', 'شي', 'مختلف', 'اطلب', 'من', 'هالموقع', 'المتخصص', 'ب', 'الشاي', 'عند', 'ه', 'شحن', 'دولي', 'مباشر']",[],[]
1059076389880639488,@mdbag_q8,"#امطار_الكويت "" تحت المطر ادعي وأقول يا رب .. عاشق ما غلط - ضايق : ولا عنده حلول الحل بـ ايدينك .. فقط !!",下午9:34 · 2018年11月4日,Kuwait_floods_18,[],['#امطار_الكويت'],[],"['""', 'تحت', 'المطر', 'ادعي', 'وأقول', 'يا', 'رب', '', 'عاشق', 'ما', 'غلط', '-', 'ضايق', ':', 'ولا', 'عنده', 'حلول', 'الحل', 'بـ', 'ايدينك', '', 'فقط', '']",2018-11-04 21:34:00,"['تحت', 'المطر', 'ادعي', 'و', 'أقول', 'يا', 'رب', 'عاشق', 'ما', 'غلط', 'ضايق', 'و', 'لا', 'عند', 'ه', 'حلول', 'الحل', 'بـ', 'ايدينك', 'فقط']",[],[]
