event_id,tweet_id,text,user_id,created_at,user_loc,place_type,place_full_name,place_country_code,hashtags,user_mentions,image_urls,entities,words,filtered_words,sampled_words
1,256504502662873088,“@JoeBiden: RT if you’re on #TeamObamaBiden tonight: http://t.co/VTKX8V0n”,82012392,2012-10-11 21:20:13,www.ChristinaMWatkins.com,,,,['TeamObamaBiden'],[939091],['http://pbs.twimg.com/media/A470EwnCUAAZsQ3.png'],"[('TeamObamaBiden', 'MONEY'), ('tonight', 'TIME')]","['’', '“', 'tonight']",['tonight'],[]
1,256505257629216768,hmm what stupid remarks will @JoeBiden make tonight? Maybe ask a paralyzed man to stand up again? @PaulRyanVP all the way!,222960972,2012-10-11 21:23:13,Connecticut,,,,[],"[939091, 1158092936]",[],"[('tonight', 'TIME')]","['maybe', 'hmm', 'paralyzed', 'tonight', 'make', 'stupid', 'man', 'way', 'ask', 'stand', 'remark']","['maybe', 'hmm', 'paralyzed', 'tonight', 'make', 'stupid', 'man', 'way', 'ask', 'stand', 'remark']",[]
1,256505500701708289,T-4 hours #FreeJoe @JoeBiden lil rascal is going to wound up!!! #CrazyUncleJoe,379364567,2012-10-11 21:24:11,houston,,,,"['FreeJoe', 'CrazyUncleJoe']",[939091],[],"[('FreeJoe', 'ORG')]","['rascal', 't4', 'wound', 'hour', 'lil', 'go']","['rascal', 'wound', 'hour', 'lil', 'go']",[]
1,256505798795091968,LIVE U.S. debate tonight: @JoeBiden vs. @PaulRyanVP. Join us at 8:30 p.m. for our liveblog: http://t.co/Ec2NFx2P  #uspoli #vpdebate,390206490,2012-10-11 21:25:22,"1 Yonge St., Toronto, Canada",,,,"['uspoli', 'vpdebate']","[939091, 1158092936]",[],"[('U.S.', 'GPE'), ('tonight', 'TIME'), ('@PaulRyanVP', 'ORG'), ('Join', 'PERSON'), ('8:30 p.m.', 'TIME')]","['debate', 'pm', '-PRON-', 'tonight', 'join', 'LIVE', 'US', 'liveblog', 'vs']","['debate', 'pm', 'tonight', 'join', 'live', 'us', 'liveblog', 'vs']",[]
1,256506020828966912,Joe Biden about to go #JoeBiden on that Paul Ryan @ss!!!!,775053702,2012-10-11 21:26:15,"Inmyfeelings, FU. ",,,,['JoeBiden'],[1965140520],[],"[('Joe Biden', 'PERSON'), ('JoeBiden', 'PERSON'), ('Paul Ryan', 'PERSON')]","['Paul', 'Biden', 'Ryan', 'Joe', 'go']","['paul', 'biden', 'ryan', 'joe', 'go']",[]
1,256506444709507072,“@JoeBiden: RT if you’re on #TeamObamaBiden tonight: http://t.co/M4LkGw71” Call Ryan OUT on Every Lie and Difference and we will Win!!!,492507438,2012-10-11 21:27:56,,,,,['TeamObamaBiden'],[939091],['http://pbs.twimg.com/media/A470EwnCUAAZsQ3.png'],"[('TeamObamaBiden', 'MONEY'), ('tonight', 'TIME'), ('Call Ryan', 'WORK_OF_ART'), ('Win', 'PERSON')]","['Lie', 'every', 'Win', 'call', '’', 'tonight', 'Difference', 'Ryan', '“']","['lie', 'every', 'win', 'call', 'tonight', 'difference', 'ryan']",[]
1,256509502386499585,be fierce tonight @JoeBiden and @PhilHughes65.,18142266,2012-10-11 21:40:05,🗽,,,,[],"[939091, 2541922543]",[],"[('tonight', 'TIME'), ('@PhilHughes65', 'ORG')]","['tonight', 'fierce']","['tonight', 'fierce']",[]
1,256510026590584832,"MT @OFA_WA: Before @JoeBiden #debates #PaulRyan tonight, make sure everyone has the facts on where they stand http://t.co/2hnRVtjh #p2 #tcot",28103693,2012-10-11 21:42:10,Seattle,,,,"['debates', 'PaulRyan', 'p2', 'tcot']",[939091],[],"[('MT', 'ORG'), ('tonight', 'TIME'), ('#p2 #', 'MONEY')]","['tonight', 'make', 'sure', 'fact', 'mt', 'everyone', 'stand']","['tonight', 'make', 'sure', 'fact', 'mt', 'everyone', 'stand']",[]
1,256510810703159296,"Before @JoeBiden debates Rep. Ryan tonight, make sure everyone you know has the facts on where they stand http://t.co/SjEQlxdU",78495596,2012-10-11 21:45:18,Washington,,,,[],[939091],['http://pbs.twimg.com/media/A49POSlCYAAZmQv.jpg'],"[('Ryan', 'PERSON'), ('tonight', 'TIME')]","['Rep', 'debate', 'tonight', 'make', 'sure', 'fact', 'know', 'Ryan', 'everyone', 'stand']","['rep', 'debate', 'tonight', 'make', 'sure', 'fact', 'know', 'ryan', 'everyone', 'stand']",[]
1,256512396154257409,For anyone who was at Marlins Ballpark for CBHS Class of 2012 Graduation....... @joebiden http://t.co/JOg7ptS7,344308314,2012-10-11 21:51:36,"Dacula, GA",,,,[],[939091],['http://pbs.twimg.com/media/A49Qqk3CQAAmSG9.jpg'],"[('Marlins Ballpark for CBHS Class', 'ORG')]","['Ballpark', 'CBHS', 'anyone', 'Marlins', 'Graduation', 'class']","['ballpark', 'cbhs', 'anyone', 'marlins', 'graduation', 'class']",['cbhs']
2,256439054772629504,Who will clinch 2012 Nobel Peace Prize? http://t.co/KgJ4UqOt #NewsOneLine,323707086,2012-10-11 17:00:09,Indonesia,,,,['NewsOneLine'],[],[],"[('2012', 'DATE'), ('Nobel Peace Prize', 'WORK_OF_ART')]","['clinch', 'Peace', 'Prize', 'Nobel']","['clinch', 'peace', 'prize', 'nobel']",[]
2,256439947987386368,"Who'll win Nobel Peace Prize?: Speculation abounds ahead of the awarding of the 2012 Nobel Peace Prize in Oslo, ... http://t.co/f2og0KkB",366931544,2012-10-11 17:03:42,Unites States,,,,[],[],[],"[('Nobel Peace Prize', 'WORK_OF_ART'), ('2012', 'DATE'), ('Nobel Peace Prize', 'WORK_OF_ART'), ('Oslo', 'GPE')]","['award', 'abound', 'Speculation', 'ahead', 'Oslo', 'win', 'will', 'who', 'Peace', 'Prize', 'Nobel']","['award', 'abound', 'speculation', 'ahead', 'oslo', 'win', 'will', 'who', 'peace', 'prize', 'nobel']",[]
2,256439952420794368,"Who'll win Nobel Peace Prize?: Speculation abounds ahead of the awarding of the 2012 Nobel Peace Prize in Oslo, ... http://t.co/TxMivPoN",363030711,2012-10-11 17:03:43,Malaysia,,,,[],[],[],"[('Nobel Peace Prize', 'WORK_OF_ART'), ('2012', 'DATE'), ('Nobel Peace Prize', 'WORK_OF_ART'), ('Oslo', 'GPE')]","['award', 'abound', 'Speculation', 'ahead', 'Oslo', 'win', 'will', 'who', 'Peace', 'Prize', 'Nobel']","['award', 'abound', 'speculation', 'ahead', 'oslo', 'win', 'will', 'who', 'peace', 'prize', 'nobel']",[]
2,256439960855523328,"Who'll win Nobel Peace Prize?: Speculation abounds ahead of the awarding of the 2012 Nobel Peace Prize in Oslo, ... http://t.co/2n6ovfBu",355992105,2012-10-11 17:03:45,Malaysia,,,,[],[],[],"[('Nobel Peace Prize', 'WORK_OF_ART'), ('2012', 'DATE'), ('Nobel Peace Prize', 'WORK_OF_ART'), ('Oslo', 'GPE')]","['award', 'abound', 'Speculation', 'ahead', 'Oslo', 'win', 'will', 'who', 'Peace', 'Prize', 'Nobel']","['award', 'abound', 'speculation', 'ahead', 'oslo', 'win', 'will', 'who', 'peace', 'prize', 'nobel']",[]
2,256440040194965504,"Who'll win Nobel Peace Prize?: Speculation abounds ahead of the awarding of the 2012 Nobel Peace Prize in Oslo, ... http://t.co/1hh60m69",159315664,2012-10-11 17:04:04,Never land,,,,[],[],[],"[('Nobel Peace Prize', 'WORK_OF_ART'), ('2012', 'DATE'), ('Nobel Peace Prize', 'WORK_OF_ART'), ('Oslo', 'GPE')]","['award', 'abound', 'Speculation', 'ahead', 'Oslo', 'win', 'will', 'who', 'Peace', 'Prize', 'Nobel']","['award', 'abound', 'speculation', 'ahead', 'oslo', 'win', 'will', 'who', 'peace', 'prize', 'nobel']",[]
2,256646165183991808,i wanna learn chinesse .. !!,747222240,2012-10-12 06:43:08,Your Heart ,,,,[],[],[],[],"['na', 'learn', 'wan', 'chinesse']","['na', 'learn', 'wan', 'chinesse']",[]
2,256655321303502848,"Mo Yan,a Chinese author, has won the Nobel prize for Literature.If you switch out the first letters of his name, it reads ""Yo Man.",33241854,2012-10-12 07:19:31,Delhi,,,,[],[],[],"[('Mo Yan', 'PERSON'), ('Chinese', 'NORP'), ('the Nobel prize for Literature', 'WORK_OF_ART'), ('first', 'ORDINAL'), ('Yo Man', 'WORK_OF_ART')]","['LiteratureIf', 'author', 'prize', 'Yo', 'switch', 'read', 'Man', 'Yana', 'letter', 'first', 'name', 'chinese', 'Nobel', 'Mo']","['literatureif', 'author', 'prize', 'yo', 'switch', 'read', 'man', 'yana', 'letter', 'first', 'name', 'chinese', 'nobel', 'mo']",['literatureif']
2,256655468011876353,"An aunt recalls how she met her husband http://t.co/3TKkQyYC By Mo Yan, 2012 winner of the Nobel Prize for Literature.",57947109,2012-10-12 07:20:06,India,,,,[],[],[],"[('Mo Yan', 'PERSON'), ('2012', 'DATE'), ('the Nobel Prize for Literature', 'WORK_OF_ART')]","['husband', 'meet', 'aunt', 'recall', 'winner', 'Nobel', 'Literature', 'Prize', 'Yan', 'Mo']","['husband', 'meet', 'aunt', 'recall', 'winner', 'nobel', 'literature', 'prize', 'yan', 'mo']",[]
2,256656449588051968,Best of luck #Edhi shb for Nobel Peace Prize !!,733025917,2012-10-12 07:24:00,حالت جنگ ,,,,['Edhi'],[],[],"[('Edhi', 'ORG'), ('Nobel Peace Prize', 'WORK_OF_ART')]","['luck', 'shb', 'good', 'Peace', 'Prize', 'Nobel']","['luck', 'shb', 'good', 'peace', 'prize', 'nobel']",[]
2,256657468837462016,Can't wait to see who wins the Nobel prize for Economics.,30835377,2012-10-12 07:28:03,In the Antipodes.,,,,[],[],[],"[('the Nobel prize for Economics', 'WORK_OF_ART')]","['not', 'prize', 'can', 'wait', 'win', 'see', 'Nobel', 'Economics']","['not', 'prize', 'can', 'wait', 'win', 'see', 'nobel', 'economics']",[]
3,256818836421111808,“@Cardinals: Remember last year's NLDS Game 5? VIDEO: http://t.co/bovtuWbc #postseason #12in12” let's do it again! #CardinalNation,436297553,2012-10-12 18:09:16,"Linn, Mo",,,,"['postseason', '12in12', 'CardinalNation']",[52847728],[],"[(""last year's"", 'DATE'), ('NLDS Game 5', 'EVENT'), ('#postseason #', 'MONEY'), ('CardinalNation', 'ORG')]","['remember', 'let', 'year', 'VIDEO', '""', 'NLDS', 'last', 'Game']","['remember', 'let', 'year', 'video', 'nlds', 'last', 'game']",[]
3,256822841880748033,Put up or shut up day.  I LOVE #RedOctober #12in12 #cardinals,27973768,2012-10-12 18:25:11,"St. Louis, MO",,,,"['RedOctober', '12in12', 'cardinals']",[],[],[],"['put', 'day', 'shut', 'love']","['put', 'day', 'shut', 'love']",[]
3,256823533773152257,Cardinals vs. Nationals NLDS: Game 5 matchup favors Washington http://t.co/NCqFMnvW,354467684,2012-10-12 18:27:56,,,,,[],[],[],"[('Nationals NLDS:', 'ORG'), ('5 matchup', 'QUANTITY'), ('Washington', 'GPE')]","['ors', 'matchup', 'cardinal', 'Washington', 'Nationals', 'NLDS', 'vs', 'Game']","['ors', 'matchup', 'cardinal', 'washington', 'nationals', 'nlds', 'vs', 'game']",[]
3,256825245384716289,Adam Wainwright is telling the Cardinals to get on his back tonight.,506612349,2012-10-12 18:34:44,"Richmond, VA",,,,[],[],[],"[('Adam Wainwright', 'PERSON'), ('tonight', 'TIME')]","['tell', 'Adam', 'get', 'tonight', 'Wainwright', 'Cardinals', 'back']","['tell', 'adam', 'get', 'tonight', 'wainwright', 'cardinals', 'back']",[]
3,256825413089775617,But the cardinals and Seahawks have to lose,59943754,2012-10-12 18:35:24,#Pluto ,,,,[],[],[],"[('Seahawks', 'GPE')]","['cardinal', 'lose', 'seahawk']","['cardinal', 'lose', 'seahawk']",[]
3,256834539844956161,Going to try to start today's Cardinal-White game at approximately 3:15,606433843,2012-10-12 19:11:40,Baum-Walker Stadium,,,,[],[],[],"[('today', 'DATE'), ('Cardinal-White', 'ORG')]","['sta', 'game', 'CardinalWhite', 'today', 'approximately', 'go', 'try']","['sta', 'game', 'cardinalwhite', 'today', 'approximately', 'go', 'try']",['cardinalwhite']
3,256837899474046976,SaintLouisSports tells you... 5 Reason the Cardinals Will Not Lose on Friday. http://t.co/vkl6fkfr #stlcards #mlb @SportsBlogRT,80596398,2012-10-12 19:25:01,,,,,"['stlcards', 'mlb']",[397725597],[],"[('5', 'CARDINAL'), ('Friday', 'DATE')]","['tell', 'Reason', 'Friday', 'Cardinals', 'SaintLouisSpos', 'Lose']","['tell', 'reason', 'friday', 'cardinals', 'saintlouisspos', 'lose']",['saintlouisspos']
3,256839770091708416,Go Big Red!! #BirdGang #Cardinals #HoodieSeaon http://t.co/sa3Z3N8N,32291751,2012-10-12 19:32:27,,,,,"['BirdGang', 'Cardinals', 'HoodieSeaon']",[],[],"[('#BirdGang', 'MONEY'), ('HoodieSeaon', 'ORG')]","['big', 'red', 'go']","['big', 'red', 'go']",[]
3,256841225666166785,I'd rather see Giants play the Cardinals.,184055495,2012-10-12 19:38:14,UC Davis,,,,[],[],[],"[('Giants', 'ORG')]","['cardinal', '-PRON-', 'Giants', 'would', 'see', 'rather', 'play']","['cardinal', 'giants', 'would', 'see', 'rather', 'play']",[]
3,256842538206519298,Cardinals vs. Nationals: Why Adam LaRoche Is the Key to the Nationals' Hopes: The Nationals have to consider thi... http://t.co/qYUVh9oL,98649449,2012-10-12 19:43:27,Newport VT,,,,[],[],[],"[('Adam LaRoche', 'PERSON'), ('Nationals', 'ORG')]","['consider', 'Key', 'cardinal', 'thi', 'Adam', 'Nationals', 'Hopes', 'LaRoche', 'vs']","['consider', 'key', 'cardinal', 'thi', 'adam', 'nationals', 'hopes', 'laroche', 'vs']",[]
4,257098013363818497,Headed your way @geauxleigh !!!!  #lsu #deathvalley #tailgaiting #mikethetigerismyman http://t.co/3AvdCM6C,156747223,2012-10-13 12:38:37,"Louisiana, USA",,,,"['lsu', 'deathvalley', 'tailgaiting', 'mikethetigerismyman']",[779224218],[],"[('#lsu #deathvalley #', 'MONEY'), ('#mikethetigerismyman', 'MONEY')]","['way', 'head']","['way', 'head']",[]
4,257103054871089152,Headed to baton rouge for the lsu-south carolina game. So pumped!,352745201,2012-10-13 12:58:39,mississippi,,,,[],[],[],[],"['headed', 'rouge', 'lsusouth', 'game', 'pump', 'carolina', 'baton']","['headed', 'rouge', 'lsusouth', 'game', 'pump', 'carolina', 'baton']",['lsusouth']
4,257112014097362945,"“@abbriel5: Going to my first LSU game today!!💜💛💜💛
#SoExcited🐯”me too",501898838,2012-10-13 13:34:15,pineville LA,,,,['SoExcited'],[555496244],[],"[('first', 'ORDINAL'), ('LSU', 'ORG'), ('today', 'DATE'), ('#', 'CARDINAL'), ('SoExcited', 'ORG')]","['LSU', '💛', 'game', '""', '💜', 'first', 'today', '“', '🐯', 'go']","['lsu', 'game', 'first', 'today', 'go']",[]
4,257113352076132354,Wish I was headed to BR for the LSU game so I could see @FrannyBrew 😪,61048585,2012-10-13 13:39:34,"San Antonio, TX",,,,[],[401833808],[],"[('BR', 'ORG'), ('LSU', 'ORG')]","['LSU', 'game', 'BR', 'head', 'see', '😪', 'could', 'Wish']","['lsu', 'game', 'br', 'head', 'see', 'could', 'wish']",[]
4,257114245504851969,South Carolina aims to back up newfound hype on road at LSU  | Ben Glicksman http://t.co/j30Tvwci via @SINow,168826569,2012-10-13 13:43:07,"Charleston, South Carolina",,,,[],[28370738],[],"[('South Carolina', 'GPE'), ('LSU', 'ORG'), ('Ben Glicksman', 'PERSON')]","['Carolina', 'LSU', 'Glicksman', 'aim', 'newfound', 'South', 'Ben', 'road', 'back', 'hype']","['carolina', 'lsu', 'glicksman', 'aim', 'newfound', 'south', 'ben', 'road', 'back', 'hype']",[]
4,257115197557325824,My bro @MajorPayne_4 gone act a donkey today on West Virginia watch out Geno  and @BIGDIRTDAWG gone go ham against LSU my bros gone show out,140651678,2012-10-13 13:46:54,"ÜT: 34.044297,-81.08457",,,,[],[58740680],[],"[('today', 'DATE'), ('West Virginia', 'GPE'), ('Geno  ', 'PERSON'), ('LSU', 'ORG')]","['LSU', 'show', 'Geno', 'act', 'bro', 'donkey', 'ham', 'today', 'watch', 'West', 'go', 'Virginia']","['lsu', 'show', 'geno', 'act', 'bro', 'donkey', 'ham', 'today', 'watch', 'west', 'go', 'virginia']",[]
4,257116015320764416,"NCAAF: Kent St -1.5, Mississippi -6, and LSU ML -150(to win 2.5).... More in a few",41707135,2012-10-13 13:50:09,NOLA ,,,,[],[],[],"[('Kent St', 'PERSON'), ('Mississippi', 'GPE'), ('LSU ML', 'ORG'), ('2.5', 'CARDINAL')]","['LSU', 'Kent', '150to', 'NCAAF', 'ML', 'Mississippi', 'win', 'St']","['lsu', 'kent', 'ncaaf', 'ml', 'mississippi', 'win', 'st']",[]
4,257117823128727552,"UREC is closed today, but that can only mean one thing. It's time to take charge against SouthCarolina tonight. #GEAUXTIGERS #LSU #gameon",284225400,2012-10-13 13:57:20,"Baton Rouge, Louisiana",,,,"['GEAUXTIGERS', 'LSU', 'gameon']",[],[],"[('UREC', 'ORG'), ('today', 'DATE'), ('one', 'CARDINAL'), ('SouthCarolina', 'ORG'), ('tonight', 'TIME'), ('#GEAUXTIGERS #LSU #', 'MONEY')]","['one', 'SouthCarolina', 'tonight', 'thing', 'take', 'close', 'mean', 'time', 'today', 'UREC', 'charge']","['one', 'southcarolina', 'tonight', 'thing', 'take', 'close', 'mean', 'time', 'today', 'urec', 'charge']","['southcarolina', 'urec']"
4,257118045380673536,“@RellTaylor: I think LSU might beat South Carolina today.”,132720825,2012-10-13 13:58:13,I'm in my own world,,,,[],[24471197],[],"[('LSU', 'ORG'), ('South Carolina', 'GPE'), ('today', 'DATE')]","['LSU', 'beat', 'Carolina', 'think', '""', 'South', 'today', 'may']","['lsu', 'beat', 'carolina', 'think', 'south', 'today', 'may']",[]
4,257118359945097217,Who yal got winning LSU or South CAROLINA?,116038061,2012-10-13 13:59:28,Far Eastside Bitch!!!,,,,[],[],[],"[('LSU', 'ORG'), ('South CAROLINA', 'GPE')]","['LSU', 'yal', 'get', 'CAROLINA', 'win', 'South']","['lsu', 'yal', 'get', 'carolina', 'win', 'south']",[]
5,257895665227689984,; . . Tired Of These People At Webb,302392691,2012-10-15 17:28:12,,,,,[],[],[],[],"['Webb', 'People', 'Tired']","['webb', 'people', 'tired']",[]
